Product_Key,SKU,FNSKU,ASIN,Parent ASIN,Is Parent,Brand,Title
1,UK_Aava_Magnesium_400mg_120_05,X000JJIQ79,B01GU9QLZC,No Parent,0,Aavalabs,High Absorption Magnesium Citrate Supplements - [ 448 mg ] - Vegan Magnesium Capsules - High Dose of Elemental Magnesium – 180 Magnesium Citrate Capsules - Pure and GMO Free - 3 Month Supply
2,UK_Aava_Omega_2000mg_120_05,X000JFSY57,B01GU9P0M2,No Parent,0,Aavalabs,Omega 3 2000mg Fish Oil Capsules - High Strength Omega 3 Fatty Acids Supplements - Molecularly Distilled for Purity and Freshness - 1000mg EPA - 500 mg DHA - 120 Omega 3 Capsules - 60 Days Supply
3,UK_Aava_Turmeric_1400mg_120_07,X000J6KEPJ,B01GU8L68A,No Parent,0,Aavalabs,Turmeric Curcumin Capsules with Black Pepper [ 600 Mg ] Per Capsule - 95% Curcuma Extract & Piperine - 180 Curcumin Capsules High Strength with Black Pepper - Vegan and Non-GMO - 3rd Party Tested
4,FR_Aava_Turmeric_1400mg_180_01,X000UL0561,B07CXYM3H5,No Parent,0,Aavalabs,Gélules biodisponibles du complexe de curcumine curcuma au poivre noir [ 700 mg ] par gélule - 95% d’extrait de curcuma et de pipérine - un approvisionnement de 180 gélules - Végétalien et sans OGM
5,FR_Aava_Magnesium_400mg_120_01,X000UL0OUX,B07CZ1P4BM,No Parent,0,Aavalabs,"Citrate de Magnésium - 1496 mg dont 448,8 mg de magnésium élémentaire par dose - Complément Alimentaire 180 Gélules - Approvisionnement de 90 jours - Pur - Muscles et Os - Végétalien et Sans OGM"
6,DE_Aava_Maca_180_01,X000V6AE25,B07F6FJPQJ,No Parent,0,Aavalabs,"Maca L - Arginin [ 5600 mg ] + Cordyceps, Acerola Extrakt mit Vitamin B6, B12 und Zink pro Tagesdosis - Nordische Reinheit: 100% Vegan - Laborgeprüft - Hergestellt in der EU - 180 Kapseln"
7,UK_Aava_Spirulina_180_01,X000V6MQ67,B07F838ZVV,No Parent,0,Aavalabs,Organic Chlorella Powder and Spirulina Powder [ 1800 mg ] - 200 Powdered Chlorophyll Tablets - High Quality Blue Spirulina Powder and Chlorella Tablets - 100% Vegan Organic Spirulina Capsules
8,FR_Aava_Probiotic_60_01,X000U941DL,B07CGSXNH4,B092ZXC3XB,0,Aavalabs,"Probiolac de AAVALABS [50 Milliards d’UFC par dose quotidienne - 2 gélules] Ferments Lactiques Flore Intestinale - 20 souches différentes - Lactobacillus Acidophilus, Bifidobacterium et Streptococcus"
9,IT_Aava_Turmeric_1400mg_180_01,X000UKGC4L,B07CXYWF66,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
10,IT_Aava_Probiotic_60_01,X000UKEOC3,B07CY19DMQ,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
